Solvent,Solute,logK,deltaG_solv
C(Cl)Cl,CCC(=O)C,3.862,-0.22847
CC(C)(C)O,CCCl,1.79,-0.1059
CO,CCC,0.84,-0.04969
CN1CCCC1=O,C(F)(F)F,0.99,-0.05857
C/N=C/O,CCCCCCCCC,2.8,-0.16565
c1ccc(cc1)N,[Rn],0.544,-0.03218
CC(=O)OC,CCO,3.008,-0.17795
CCCCCO,CCCCC,1.94,-0.11477
CC(C)CC(C)(C)C,CO,1.056,-0.06247
CCCCCC,CC(C)CCO,2.97,-0.1757
C(CCl)Cl,CC(=O)O,3.41,-0.20173
C(I)I,CCCCCCCC,2.47,-0.14612
C(Cl)(Cl)(Cl)Cl,CCCCC,2.36,-0.13962
c1ccc(cc1)Br,CCCCCOC(=O)C,4.7,-0.27805
CCOCC,CN(C)C,1.73,-0.10235
CCCCCCC,CCCCNCCCC,4.59,-0.27154
CN(C)C=O,C=CC#C,2.43,-0.14376
COCCO,Cc1ccccc1,3.366,-0.19913
CC1COC(=O)O1,CCCC,0.88,-0.05206
CCCCCCCCCC,C1COCCO1,2.91,-0.17215
CO,CCCCC,1.66,-0.0982
c1ccc(cc1)[N+](=O)[O-],CC(C)CCC(C)C,2.699,-0.15967
c1ccc(cc1)Br,CCI,3.09,-0.1828
C(Cl)(Cl)(Cl)Cl,CNC,2.02,-0.1195
CC(C)CC(C)(C)C,FS(F)(F)(F)(F)F,0.346,-0.02047
C(Cl)(Cl)(Cl)Cl,Cc1ccccc1N,5.24,-0.30999
CC(C)OCCO,C1COCCO1,3.52581985177,-0.20859
C1CCC(=O)CC1,CC(=C)C=C,2.342,-0.13855
CCCCCCCCO,CC(C)c1ccccc1,3.98,-0.23545
C/C(=N/C)/O,CCO,3.65,-0.21593
c1ccc(cc1)C#N,CCCCCC,2.27994871228,-0.13488
CCCCOP(=O)(OCCCC)OCCCC,S,1.27,-0.07513
CC(C)(C)OC,CO,2.53,-0.14967
CCCCC,CCCC,1.91,-0.11299
CC(=O)OC,CCCCC,1.967,-0.11637
c1ccc(cc1)Cl,C1CCOC1,2.97,-0.1757
C(CCl)Cl,C(=C(Cl)Cl)(Cl)Cl,3.7,-0.21889
CCCCCCC,CC1CCCCC1,3.51,-0.20765
CN1CCCC1=O,CCC,0.65,-0.03845
CC(C)(C)O,C/C=C/C,1.54,-0.09111
CC(C)CC(C)(C)C,C=CC#C,1.622,-0.09596
Cc1ccccc1,Cc1ccc(cc1)N,5.42,-0.32064
C1CCOCC1,COC,1.62,-0.09584
C(Cl)(Cl)Cl,CC(C)(C)CCO,4.793,-0.28355
CC(C)O,[Rn],0.71,-0.042
CCCCCCCCO,CCCOC(=O)C,3.17,-0.18754
C(Cl)(Cl)(Cl)Cl,CC(=O)C,2.49,-0.14731
CN1CCCC1=O,CCC(C)C,1.32,-0.07809
CCCCCC,CCCl,1.908,-0.11288
CC1CCCCC1,CC(=O)COC,2.6,-0.15381
CC(C)CC(C)(C)C,O=S=O,0.861,-0.05094
CC(C)CC(C)(C)C,CCC1CCCCC1,3.864,-0.22859
CCC(C)O,CC(C)CO,4.36,-0.25793
CCCCCCCCCCCCCCCC,Cc1cccc(c1)Br,4.54,-0.26858
CCC(=O)C,CCCC,1.69,-0.09998
Cc1ccccc1,C=CC=C,1.868,-0.11051
CCO,CCN(CC)CC,3.57,-0.2112
CCCCCCCCCCCCCCCC,C1CCC(=O)CC1,3.616,-0.21392
CCCCCCCCCCCCCCCC,CCCOC(=O)CC,3.37,-0.19937
CCCCOC(=O)C,C=CCCCC=C,3.24,-0.19168
CCCC(C)O,C/C=C\C,1.63,-0.09643
C1CCOC1,CCc1ccccc1,4.43,-0.26208
CCOC(=O)C,CC,0.49,-0.02899
CO,[Rn],0.68,-0.04023
CCCCCl,CCBr,2.565,-0.15174
CCCOCCO,C=CCCCCC=C,3.31638889025,-0.1962
CCN(CC)CC,CC(C)C(C)C(C)C,3.657,-0.21635
CC(C)(C)O,CCCCCCCC,3.39,-0.20055
Cc1ccccc1,CCCCCCO,4.52,-0.2674
CCO,CI,2.19,-0.12956
C1COCCN1C=O,CCCC(=O)OCC,3.38,-0.19996
C1CCOC1,[Ar],-0.56,0.03313
CCBr,C1COCCO1,3.705,-0.21919
C(Cl)(Cl)(Cl)Cl,C1CCCC1,2.759,-0.16322
CCCCCCCCCC,CCCC(C(C)C)O,4.003,-0.23681
CCCCCCCCCCCCCCCC,C1CCOC1,2.534,-0.14991
c1ccc(cc1)Br,C(F)(F)(F)F,-1.15,0.06803
CCC(C)O,[2H][2H],-1.13,0.06685
CCCCCCCCCC,CCO,1.58,-0.09347
CN(C)C=O,FS(F)(F)(F)(F)F,-0.61,0.03609
c1ccc(cc1)N,CCCCCC,1.706,-0.10093
CN(C)C=O,C(C(F)(F)F)O,5.08,-0.30053
CCCCOC(=O)C,CCCCC,2.154,-0.12743
CCOCC,CCC(=O)C,3.03,-0.17925
CCCCCCCCO,C(=C(Cl)Cl)Cl,2.99,-0.17689
CCc1ccccc1,CC(C)(C)O,2.564,-0.15168
CCCCCCCCCCCCCCCC,c1ccc(cc1)CO,4.443,-0.26284
C(CCl)Cl,[Ar],-0.76,0.04496
CC(=O)C,C1COCCO1,3.72,-0.22007
CN(C)C=O,CCCCCC#C,3.17,-0.18754
C(=O)N,CCCCCCCOC(=O)C,3.55,-0.21002
Cc1ccccc1,CCCC=O,2.935,-0.17363
CC(=O)c1ccccc1,CCCCC(=O)O,5.7,-0.33721
c1ccc(cc1)I,[Ne],-1.93,0.11418
CC(=O)O,ClCl,1.472,-0.08708
CC(C)(C)O,C(F)(F)(F)F,-0.59,0.0349
CCCCCCCC,CCC=O,1.86,-0.11004
CC(C)CC(C)(C)C,CCCCCl,2.865,-0.16949
CCCCCC,CCC(C)(C)OC,3.275,-0.19375
CCCCCCCCCCO,CC(C)OC(C)C,2.517,-0.1489
CC(C)(C)O,CC(C)(C)OC,2.79,-0.16505
c1ccc(cc1)Br,CCO,1.97,-0.11654
Cc1ccccc1C,CCC(C)O,3.068,-0.1815
CO,CCCCCCO,5.29,-0.31295
C(Cl)(Cl)(Cl)Cl,c1ccc(cc1)Cl,4.16,-0.2461
CCCCCCCCO,CCc1ccccc1,3.72,-0.22007
CC(C)CC(C)(C)C,CCC(C(C)C)O,3.32,-0.19641
C1COCCN1C=O,CCC(=O)CC,3.26,-0.19286
CCCCCCC,c1ccc(c(c1)Cl)Cl,4.405,-0.2606
c1ccc(cc1)CO,CCCC(C)C,1.818,-0.10755
CCCCCC,C(CCl)Cl,2.75,-0.16269
CCCCOP(=O)(OCCCC)OCCCC,C[C@H]1CCCC[C@@H]1C,3.29,-0.19463
CCCO,Cc1cccnc1,4.65,-0.27509
C1COCCO1,C(Cl)(Cl)Cl,3.4,-0.20114
CCCCOP(=O)(OCCCC)OCCCC,C(Cl)(Cl)(Cl)Cl,2.98,-0.17629
CCCCO,C=C,0.34,-0.02011
C1COCCO1,[2H][2H],-1.26,0.07454
COCCO,[HH],-1.346,0.07963
C(Cl)(Cl)(Cl)Cl,CC(C)(C)OC,2.894,-0.17121
C(=S)=S,CCCCCC,2.932,-0.17346
CCCCCl,CCN(CC)CC,3.351,-0.19824
C=CCO,C=CC=C,1.55,-0.0917
CCCCCCC,CC(C)c1ccccc1,4.19,-0.24788
CCCCOC(=O)C,CCCCCCC,3.1,-0.18339
C(Cl)(Cl)Cl,CCCC(=O)O,4.39,-0.25971
Cc1cccc(c1)O,CCCCCCCC,3.032,-0.17937
C(Cl)(Cl)(Cl)Cl,CCCCCC(=O)C,4.51,-0.26681
CCCCCCCCCCCCCCCC,CCCCCc1ccccc1,5.152,-0.30479
CCCCO,CCCCCC,2.44,-0.14435
C(Cl)(Cl)(Cl)Cl,Cc1ccccc1[N+](=O)[O-],5.49,-0.32478
C(Cl)(Cl)(Cl)Cl,C=C,0.57,-0.03372
Cc1ccccc1,CCCl,2.178,-0.12885
C(Cl)(Cl)Cl,[HH],-1.18,0.06981
Cc1ccccc1,CCCCCO,3.86,-0.22836
C(Cl)(Cl)(Cl)Cl,CC(C)C(C)C(C)C,3.717,-0.2199
CCCCCCCCCCC,c1ccccc1,2.83,-0.16742
CCCCCCCCCO,FS(F)(F)(F)(F)F,-0.318,0.01881
C1COCCN1C=O,Cc1ccccc1,3.31,-0.19582
C(=O)N,CCCC=O,2.58,-0.15263
C1CCCCCCC1,O=O,-0.711,0.04206
CS(=O)C,CC(C)C(C)C(C)C,1.908,-0.11288
CCc1ccccc1,CCO,2.214,-0.13098
CCCCO,C(Cl)(Cl)Cl,2.95,-0.17452
CCCCCCCC,CCC1CCCCC1,3.94,-0.23309
C(I)I,Cc1cc(cc(c1)C)C,3.96,-0.23427
c1ccc(cc1)C#N,C/C=C/C=C,2.387,-0.14121
CCCCCCO,[Ne],-1.523,0.0901
c1ccc(cc1)[N+](=O)[O-],CC(C)C(C)C(C)C,2.826,-0.16718
CCCCCCCCC,[Ar],-0.467,0.02763
CCCCCCO,C1CCCCC1,2.75,-0.16269
C(Cl)(Cl)(Cl)Cl,CC(=C)C=C,2.56,-0.15145
CN1CCCC1=O,CC(C)C,0.88,-0.05206
CCCO,CC(C)CC(C)(C)C,2.69,-0.15914
CCC(=O)C,CCOC=O,2.72,-0.16091
C(Cl)(Cl)Cl,c1ccnc(c1)Cl,5.22,-0.30881
CCCCCCCCCC,CCN,1.414,-0.08365
CC(C)O,C1CCCCCC1,3.11,-0.18399
c1ccc(cc1)N,Cc1ccccc1C,3.956,-0.23403
CC(=O)N(C)C,CCC(C)(C)OC,2.87,-0.16979
C(Cl)(Cl)(Cl)Cl,C1CCOC1,3.13,-0.18517
C(=O)N,CCCC1CCCCC1,1.4,-0.08282
CCCCCCCCCCCCCCCC,CCCl,1.678,-0.09927
C(=O)N,COC=O,2.26,-0.1337
CN(C)C=O,CCCCCCCCCC,3.62,-0.21416
CCCCCCCCCCCCCCCC,CCCSCCC,4.12,-0.24374
C1CCOC1,C(=C(Cl)Cl)(Cl)Cl,3.98,-0.23545
Cc1ccc(cc1)C,[Ne],-1.521,0.08998
CC(=O)OC,c1ccccc1,3.208,-0.18978
CCCC#N,C1COCCO1,3.701,-0.21895
CCCCCCCCCCCCCCCC,c1ccc(cc1)C=O,3.985,-0.23575
c1ccc(cc1)I,CCCCO,2.97,-0.1757
CCCO,CCc1ccccc1,3.614,-0.2138
CN1CCCC1=O,CCCCC=C,2.06,-0.12187
CC(C)CC(C)(C)C,Cc1ccc(cc1)O,4.097,-0.24238
CCCC(=O)C,O=O,-0.591,0.03496
CCCCCCCCCCCCO,[HH],-1.394,0.08247
CCCCCC,CCBr,2.302,-0.13618
Cc1ccccc1,C=C,0.503,-0.02976
C(I)I,Cc1cccc(c1)Cl,4.12,-0.24374
CCCCCCCCO,CCCNCCC,3.59,-0.21238
CCCCCCCCCCCCCCCC,CCI,2.573,-0.15222
CC(C)CC(C)(C)C,CC(C)(C)Cl,2.415,-0.14287
Cc1ccccc1,CC(C)(C)OC,2.69,-0.15914
CN(C)C=O,CCCC#C,2.54,-0.15026
c1ccc(cc1)CO,CCCCCCC,2.37,-0.14021
CN(C)C=O,CCCC,1.08,-0.06389
CCCCCCCCC,C=C,0.426,-0.0252
CCCCCCCC,CCC#N,2.08,-0.12305
CO,CCCCCCCC,2.82,-0.16683
CC(=O)OC,CC(C)CCC(C)C,3.009,-0.17801
CCC(=O)C,C(=C(Cl)Cl)(Cl)Cl,3.65,-0.21593
c1ccc(cc1)Cl,CCC(=O)OC,3.34,-0.19759
CCCCO,CCN(CC)CC,3.56,-0.21061
CC(=O)c1ccccc1,C(Cl)(Cl)Cl,3.155,-0.18665
c1ccc(cc1)C#N,CCI,2.936,-0.17369
Cc1ccccc1,CO,1.776,-0.10507
CO,CCCCCCCCO,5.89,-0.34845
C(Cl)(Cl)(Cl)Cl,c1ccc(c(c1)N)Cl,5.33,-0.31532
CCOCCO,CCCCCCC,2.637,-0.156
C1COCCO1,CC[Sn](CC)(CC)CC,4.67,-0.27627
CCCCCCCCCCCCCCCC,CCOC=O,1.901,-0.11246
CCCCO,[Ne],-1.45,0.08578
C(Cl)(Cl)Cl,c1ccc(cc1)Br,4.7,-0.27805
CCCCCCCCCCCCCCCC,CCCCCC(=O)OC,3.984,-0.23569
C(I)I,c1ccccc1,2.81,-0.16624
CO,[He],-1.45,0.08578
COCCO,CCCCCCC,2.363,-0.13979
CCCCCCCCCCCCCCCC,Cc1ccnc(c1)C,4.05,-0.2396
CCCCOP(=O)(OCCCC)OCCCC,CO,3.07,-0.18162
C(Cl)(Cl)(Cl)Cl,C(CCl)CCl,3.81,-0.2254
c1ccc(cc1)Br,CCN(CC)CC,3.28,-0.19404
CCCCCCCCO,CC(C)OC(=O)C,2.93,-0.17334
CC(C)O,C=C,0.33,-0.01952
CCCCCCCCCCO,[Ar],-0.728,0.04307
CC(CO)O,[Ar],-1.181,0.06987
CCC(C)O,CCC(=O)C,3.05,-0.18044
CC(C)O,CCCCCCC,2.74,-0.1621
CC(=O)N(C)C,CC=C(C)C,1.89,-0.11181
CCCCCCCC,CCCCCCCCC,4.39,-0.25971
CC(C)CC(C)(C)C,CCCc1ccccc1,4.316,-0.25533
CN(C)C=O,C(C(F)(F)Cl)(F)(F)F,1.13,-0.06685
CCCCCO,CC,0.44,-0.02603
C1CCOC1,CCC(=O)OC,3.26,-0.19286
CN1CCCC1=O,N,1.34,-0.07927
CC(C)CC(C)(C)C,C[N+](=O)[O-],1.973,-0.11672
CCCCOP(=O)(OCCCC)OCCCC,C(=O)=O,0.5,-0.02958
C(Cl)(Cl)Cl,Cn1ccccc1=O,6.86,-0.40583
CCCCCCCCCC,CCCC(=O)C,2.88,-0.17038
COCCO,CC(C)O,3.414,-0.20197
c1ccc(cc1)N,C1CCCCC1,2.209,-0.13068
CCC(C)(C)O,CC=C,1.02,-0.06034
CCCCCCCCCCCCCCCC,CC(C)(C)N,2.493,-0.14748
CO,CCCC(=O)OC,3.55,-0.21002
c1ccc(cc1)CO,C1COCCO1,4.012,-0.23735
c1ccc(cc1)C#N,CCCC(C)C,2.11966849084,-0.1254
CCCCCCCC,CCCC(C)(CC)O,3.958,-0.23415
CCCCCCCCCCO,CC(C)O,3.29,-0.19463
C(=O)N,C(Cl)Cl,1.96,-0.11595
CC1CCCCC1,C1CCOC1,2.78,-0.16446
Cc1cccc(c1)C,C,-0.269,0.01591
CC(C)CO,Cc1ccccn1,4.54,-0.26858
c1ccncc1,C1CCOC1,3.185,-0.18842
COc1ccccc1,C[N+](=O)[O-],3.367,-0.19919
CO,CCCCO,4.56,-0.26977
CCN(CC)CC,C1CCCCC1,3.061,-0.18109
CC(=O)O,[Ar],-0.663,0.03922
CC(C)CO,CCCOCCC,3.06,-0.18103
CC(=O)C,C(Cl)(Cl)Cl,3.41,-0.20173
CC(C)CC(=O)C,CCCCCC,2.634,-0.15583
CCCCO,CCCCl,2.32,-0.13725
CCC(=O)C,CC(C)C=C,1.99,-0.11773
C(Cl)(Cl)(Cl)Cl,C(CBr)Br,3.912,-0.23143
CCCCCCCCCC,CCC(C)CCO,3.509,-0.20759
C(=O)N,CCCCCCCC=O,3.16,-0.18694
CCCCCC,C(CCCl)CCl,3.63,-0.21475
C1COCCN1C=O,CC(C)O,3.32,-0.19641
CCCCCCC,C(F)(F)(F)Cl,0.44,-0.02603
CCCCCCCCCC,CCCCN,2.49,-0.14731
CCCCCC,C1CCCCC1,3.1,-0.18339
Cc1ccccc1,CCCCC=C,2.843,-0.16819
CCCCO,Cc1ccccc1,3.31,-0.19582
C1CCOC1,CCCCOCCCC,4.492,-0.26574
CN(C)C=O,C(=O)=O,0.7,-0.04141
CCCCCCCCCCCCCCCC,c1ccsc1,2.943,-0.17411
CC(=O)C,CCCCCCCCC,3.66,-0.21652
C/C(=N/C)/O,O,4.25,-0.25143
C1CCC(=O)CC1,CC(C)CCC(C)C,3.063,-0.18121
CCCCCCC,CC(C)C(C)C(C)C,3.64,-0.21534
CCCC#N,CCCCC,1.921,-0.11365
CC(C)O,[C-]#[O+],-0.72,0.04259
C1CC(=O)OC1,CCCCCCC,2.015,-0.11921
C1CCOC1,O=S=O,2.88,-0.17038
c1ccc(cc1)N,CCC=C(C)C,2.042,-0.1208
CC(C)CO,[Kr],-0.16,0.00947
CN(C)C=O,C1C=CC=C1,2.5,-0.1479
C/C(=N/C)/O,c1ccccc1,2.84,-0.16801
CCCCCCCCCCCCCCCC,CCCCCCCCN,4.52,-0.2674
CCC(=O)C,C(Cl)(Cl)(Cl)Cl,3.04,-0.17984
CCCCCCCCCCCC,[C-]#[O+],-0.78,0.04614
CCCOCCO,CC(=O)C,2.66009843635,-0.15737
CCC(=O)C,Cc1ccccc1,3.74,-0.22126
C1CCOC1,C(CCl)Cl,3.67,-0.21711
C(CCl)Cl,c1ccccc1,3.32,-0.19641
C(Cl)(Cl)Cl,CCC(=O)OC,4.02,-0.23782
C(CCl)Cl,CCCCCO,4.07,-0.24078
CCCOCCO,CCCCCCC,2.76060219835,-0.16332
CC(C)CC(=O)C,CCCCC,2.099,-0.12418
C1COCCN1C=O,CCC(=O)C,3.02,-0.17866
C(Cl)(Cl)Cl,COc1cccc(c1)O,6.39,-0.37803
CCCOCCO,CC(CCl)Cl,3.31919507454,-0.19636
CCCCCCCO,C=C,0.312,-0.01846
CCO,CN(C)C,2.67,-0.15796
CCCCCCC,[He],-1.384,0.08188
CC1CCCCC1,C1CCCCC1,3.17,-0.18754
c1ccc(cc1)N,C(=O)=O,0.122,-0.00722
CO,CCOCC,2.39,-0.14139
c1ccc(cc1)I,CCl,1.54,-0.09111
C(I)I,CCCCO,3.03,-0.17925
c1ccc(cc1)Cl,CC(=O)C(C)(C)C,4.01,-0.23723
c1ccc(cc1)[N+](=O)[O-],CCCCCCCCC,3.531,-0.20889
CCO,[Ne],-1.36,0.08046
C1COCCN1C=O,c1ccccc1,2.95,-0.17452
CN1CCCC1=O,CCCCCCC#C,3.57,-0.2112
C1COCCO1,C(C(F)(Cl)Cl)(F)(Cl)Cl,3.27,-0.19345
CC(C)CC(C)(C)C,CC#C,1.216,-0.07194
CCN(CC)CC,CCCCCCCCC,4.452,-0.26338
C/C(=N/C)/O,[Ar],-0.86,0.05088
C(Cl)(Cl)Cl,Cc1ccccc1C,4.57,-0.27036
C(Cl)(Cl)Cl,CCC(C)C(C)O,4.762,-0.28172
CC(C)CC(C)(C)C,CCC(C)O,2.508,-0.14837
CCCCOCCO,Cc1ccc(cc1)C,3.68,-0.21771
C(Cl)Cl,[Ar],-0.701,0.04147
Cc1ccccc1,C(Cl)(Cl)(Cl)Cl,3.173,-0.18771
C(Cl)(Cl)(Cl)Cl,Cc1ccccc1O,4.98,-0.29461
C1COCCO1,[He],-1.8,0.10649
C(Cl)(Cl)Cl,c1ccc(cc1)C=O,5.2,-0.30763
c1ccc(cc1)Br,C(CCl)O,3.52,-0.20824
CCCCC,CCCC(C)C,2.89,-0.17097
CCCCCCCCCCCCCCCC,c1ccc(c(c1)[N+](=O)[O-])O,4.684,-0.2771
CC(C)CO,[C-]#[O+],-0.76,0.04496
CCCCOC(=O)C,CCCCCC=C,3.14,-0.18576
Cc1cccc(c1)C,c1ccccc1,3.182,-0.18825
CCCCO,CCCCCCC,2.88,-0.17038
CCCCCCCCCCCCCCCC,Cc1ccncc1C,4.36,-0.25793
CCC(=O)C,CCCO,3.64,-0.21534
CCCCCCCCCCCCCCCC,CCOCC,2.061,-0.12193
CCCCCCCCC,CCC1CCCCC1,3.9,-0.23072
CC(C)(C)O,CO,3.39,-0.20055
Cc1cccc(c1)C,C(Cl)(Cl)(Cl)Cl,3.144,-0.186
C(CCl)Cl,c1ccc(cc1)[N+](=O)[O-],6.15,-0.36383
CC(C)(C)O,CCCCCC,2.44,-0.14435
CC(C)CCO,CC(C)C,1.32,-0.07809
CCOCCO,Cc1ccccc1C,3.961,-0.23433
CN(C)C=O,CC(C)CC(C)(C)C,2.33,-0.13784
c1ccc(cc1)Cl,[2H][2H],-1.21,0.07158
CC(=O)O,[O-][O+]=O,0.262,-0.0155
CCCCCCCC,[C-]#[O+],-0.587,0.03473
CO,CCCCC=O,3.57,-0.2112
c1ccc(cc1)Cl,CCN,2.75,-0.16269
C(=O)N,CC(C)CCCCC(=O)C,3.73,-0.22066
C(Cl)(Cl)Cl,CCN(CC)c1ccccc1,6.64,-0.39282
C(CCl)Cl,CCC(=O)C,3.64,-0.21534
CCCO,CCC1CCCCC1,3.28,-0.19404
CCC(=O)C,C1C=CCC=C1,3.23,-0.19108
CCCCCCCC,CC,0.702,-0.04153
CCCCCCCCO,C(F)(F)(F)F,-0.95,0.0562
CC(=O)OC,CC#N,3.324,-0.19665
CCCCCCCCCCCCCCCC,C[Sn](C)(C)C,2.92,-0.17275
c1ccc(cc1)Cl,CNC,2.02,-0.1195
CCCCCC,CCI,2.709,-0.16026
CC(C)CC(C)(C)C,c1ccccc1,2.894,-0.17121
CCCCCCCCO,CC(C)CCO,4.52,-0.2674
c1ccncc1,[HH],-1.31,0.0775
CC(C)(C)O,C=C,0.36,-0.0213
CC(=O)c1ccccc1,C1COCCO1,3.695,-0.21859
CCCCCCC,CCCCCCC=C,3.79,-0.22421
CCC(=O)C,C1COCCO1,3.68,-0.21771
c1ccc(cc1)[N+](=O)[O-],C1CCCCC1,2.482,-0.14683
CCCCCl,CCCCOC,3.119,-0.18452
CCCCCCCCCCCCCCCC,CC#C,1.025,-0.06064
CCCCCCCCCCCC,[Xe],0.53,-0.03135
CCCCCCCC,C1CCCCC1,3.05,-0.18044
COCCO,CCCCCCCC,2.781,-0.16452
Cc1ccccc1,CCC,1.177,-0.06963
CCC(=O)C,[HH],-1.06,0.06271
CCCCCCCCCC,[Ar],-0.509,0.03011
CN(C)C=O,CC(C)C=C,1.53,-0.09051
CN1CCCC1=O,CCCCCCCCCC,3.61,-0.21357
CCOC(=O)C,CC(C)C,1.58,-0.09347
Cc1ccc(cc1)C,CCCC,1.709,-0.1011
CCCCCC,[Ne],-1.161,0.06868
C(Cl)(Cl)Cl,CCNCC,3.78,-0.22362
CCCCCCC,CCCCCCCO,4.099,-0.24249
C(Cl)(Cl)Cl,CCC(C)(C)O,3.741,-0.22132
CCO,CCC1CCCCC1,3.267,-0.19327
CC#N,CCC1CCCCC1,2.817,-0.16665
CCCCCC,c1ccc(cc1)F,3.042,-0.17996
C(Cl)(Cl)Cl,c1ccnc(c1)Br,5.86,-0.34667
CCCCOC(=O)C,C1CCCCC1,2.865,-0.16949
CCCCC,CCC(=O)C,2.51,-0.14849
Cc1ccccc1,CCCCCCCCC,4.346,-0.25711
Cc1ccc(cc1)C,CC(C)CCO,3.612,-0.21368
CCCCCO,C1CCCCC1,2.72,-0.16091
CC(C)OCCO,CC#N,2.94915163989,-0.17447
C1COCCO1,c1ccc(cc1)Br,4.73,-0.27982
CC(CO)O,Cc1ccccc1,2.648,-0.15665
CC(C)CO,CC(F)F,0.99,-0.05857
Cc1ccccc1C,COC,1.493,-0.08832
Cc1ccccc1,C,-0.259,0.01532
Cc1ccccc1C,[Ne],-1.564,0.09253
CC(C)CC(C)(C)C,C(F)(F)(F)F,-0.414,0.02449
CN(C)C=O,CC(=C)C,1.45,-0.08578
CC1CCCCC1,[Ar],-0.45,0.02662
CN(C)C=O,C(F)F,1.24,-0.07336
Cc1ccccc1,CCCCCC(=O)OC,4.676,-0.27663
CCCCCCCCCCCCCCCC,CCCCCCN,3.557,-0.21043
C(Cl)(Cl)(Cl)Cl,c1ccc(cc1)C=O,4.48,-0.26503
CCCCCCCCCCCCCCCC,CC(C)CC(=O)O,3.3,-0.19523
